run,layer,batch_start,buckets,num_samples,native_seq_len,byte_prefix_len,key_rms_ratio,value_rms_ratio,key_mean_cosine,value_mean_cosine
qwen05_kv_p32_all,10,8,clean_english,4,30,32,0.7649228572845459,1.7800064086914062,0.030845148488879204,-0.03185798600316048
qwen05_kv_p32_all,11,8,clean_english,4,30,32,0.7485454082489014,1.343420386314392,0.00341222807765007,-0.1673409789800644
qwen05_kv_p32_all,12,8,clean_english,4,30,32,0.875629723072052,2.168074607849121,0.012459686025977135,-0.004367478657513857
qwen05_kv_p32_all,13,8,clean_english,4,30,32,0.8730427026748657,2.1323280334472656,0.011305461637675762,-0.1287480890750885
qwen05_kv_p32_all,14,8,clean_english,4,30,32,0.8473824858665466,1.8470991849899292,-0.04674377664923668,0.16459915041923523
qwen05_kv_p32_all,15,8,clean_english,4,30,32,0.9957091212272644,2.035548448562622,0.022849859669804573,-0.15930186212062836
qwen05_kv_p32_all,16,8,clean_english,4,30,32,0.8125350475311279,1.3872206211090088,-0.031584884971380234,0.05061478912830353
qwen05_kv_p32_all,17,8,clean_english,4,30,32,1.0904868841171265,1.6046279668807983,0.20488019287586212,0.01861146278679371
qwen05_kv_p32_all,18,8,clean_english,4,30,32,1.1170567274093628,2.006394147872925,-0.047394271939992905,0.03803025931119919
qwen05_kv_p32_all,19,8,clean_english,4,30,32,1.0276774168014526,2.281057119369507,-0.07005658745765686,-0.023960616439580917
qwen05_kv_p32_all,20,8,clean_english,4,30,32,1.1280449628829956,1.1592986583709717,0.13430383801460266,0.3176339268684387
qwen05_kv_p32_all,21,8,clean_english,4,30,32,1.3103246688842773,1.02852201461792,-0.08477643877267838,0.22932906448841095
qwen05_kv_p32_all,22,8,clean_english,4,30,32,1.5155045986175537,1.5444279909133911,0.120010606944561,-0.008457533083856106
qwen05_kv_p32_all,23,8,clean_english,4,30,32,1.2326958179473877,1.7325125932693481,0.16722223162651062,-0.011382543481886387
qwen05_kv_p32_all,0,12,clean_english,4,29,32,0.028684867545962334,34.612884521484375,-0.09335684031248093,-0.23811404407024384
qwen05_kv_p32_all,1,12,clean_english,4,29,32,0.0725543424487114,5.308133602142334,-0.23962001502513885,-0.054022062569856644
qwen05_kv_p32_all,2,12,clean_english,4,29,32,0.1261952966451645,5.993747711181641,0.0485394150018692,-0.014449919573962688
qwen05_kv_p32_all,3,12,clean_english,4,29,32,0.4965283274650574,2.9136321544647217,-0.09123161435127258,-0.07005893439054489
qwen05_kv_p32_all,4,12,clean_english,4,29,32,0.6062830686569214,2.6414356231689453,0.05300949141383171,0.051264528185129166
qwen05_kv_p32_all,5,12,clean_english,4,29,32,1.0525411367416382,2.058687448501587,-0.05178281292319298,-0.15446732938289642
qwen05_kv_p32_all,6,12,clean_english,4,29,32,1.093859314918518,3.0345089435577393,0.09270765632390976,-0.17750711739063263
qwen05_kv_p32_all,7,12,clean_english,4,29,32,0.8637122511863708,2.0994951725006104,0.06342469900846481,-0.12282164394855499
qwen05_kv_p32_all,8,12,clean_english,4,29,32,0.05978425592184067,3.5384864807128906,0.28248801827430725,-0.36843326687812805
qwen05_kv_p32_all,9,12,clean_english,4,29,32,0.7545791864395142,1.5362069606781006,-0.029597900807857513,-0.20295116305351257
qwen05_kv_p32_all,10,12,clean_english,4,29,32,0.8081496357917786,1.8600904941558838,0.005705469753593206,-0.08830585330724716
qwen05_kv_p32_all,11,12,clean_english,4,29,32,0.7822213172912598,1.3711575269699097,-0.03215954080224037,-0.1489076167345047
qwen05_kv_p32_all,12,12,clean_english,4,29,32,0.9052025675773621,2.2494752407073975,-0.002939756028354168,0.13421516120433807
qwen05_kv_p32_all,13,12,clean_english,4,29,32,0.8955780267715454,2.1739017963409424,0.011892427690327168,-0.16096575558185577
qwen05_kv_p32_all,14,12,clean_english,4,29,32,0.8869501948356628,1.9206197261810303,-0.008301615715026855,0.06096576526761055
qwen05_kv_p32_all,15,12,clean_english,4,29,32,1.0590134859085083,2.111407518386841,0.02267964743077755,-0.14950986206531525
qwen05_kv_p32_all,16,12,clean_english,4,29,32,0.8595665097236633,1.4471417665481567,-0.025763681158423424,0.06219318136572838
qwen05_kv_p32_all,17,12,clean_english,4,29,32,1.1480932235717773,1.711833119392395,0.20582835376262665,0.023356260731816292
qwen05_kv_p32_all,18,12,clean_english,4,29,32,1.1836223602294922,2.0865063667297363,-0.02388192154467106,-0.03367121145129204
qwen05_kv_p32_all,19,12,clean_english,4,29,32,1.0945591926574707,2.3728466033935547,-0.0779021754860878,-0.06478257477283478
qwen05_kv_p32_all,20,12,clean_english,4,29,32,1.2073172330856323,1.2113434076309204,0.1372155100107193,0.401358425617218
qwen05_kv_p32_all,21,12,clean_english,4,29,32,1.3887118101119995,1.0445706844329834,-0.09556181728839874,0.19889265298843384
qwen05_kv_p32_all,22,12,clean_english,4,29,32,1.572291374206543,1.6367830038070679,0.1364526003599167,-0.02729644626379013
qwen05_kv_p32_all,23,12,clean_english,4,29,32,1.2540805339813232,1.802303671836853,0.18610748648643494,-0.07817398011684418
qwen05_kv_p32_all,0,16,clean_english,4,28,32,0.02926046960055828,35.11064147949219,-0.08681921660900116,-0.22679691016674042
qwen05_kv_p32_all,1,16,clean_english,4,28,32,0.07341108471155167,5.38988733291626,-0.23251652717590332,-0.04162478446960449
qwen05_kv_p32_all,2,16,clean_english,4,28,32,0.12262026220560074,5.958089828491211,0.07143150269985199,0.021977944299578667
qwen05_kv_p32_all,3,16,clean_english,4,28,32,0.4920071065425873,2.9605674743652344,-0.09369668364524841,-0.11167092621326447
qwen05_kv_p32_all,4,16,clean_english,4,28,32,0.6051442623138428,2.585529088973999,0.05069655925035477,0.02269963175058365
qwen05_kv_p32_all,5,16,clean_english,4,28,32,1.0398247241973877,2.0565764904022217,-0.05903318151831627,-0.12967312335968018
qwen05_kv_p32_all,6,16,clean_english,4,28,32,1.0874119997024536,2.990762710571289,0.08685600012540817,-0.07563575357198715
qwen05_kv_p32_all,7,16,clean_english,4,28,32,0.8427985906600952,2.075946569442749,0.033354200422763824,-0.12061357498168945
qwen05_kv_p32_all,8,16,clean_english,4,28,32,0.06082490086555481,3.551903486251831,0.2880289554595947,-0.23640580475330353
qwen05_kv_p32_all,9,16,clean_english,4,28,32,0.7422044277191162,1.5742027759552002,-0.03254694864153862,-0.2117762565612793
qwen05_kv_p32_all,10,16,clean_english,4,28,32,0.7892753481864929,1.85366690158844,0.01231401227414608,-0.04733029752969742
qwen05_kv_p32_all,11,16,clean_english,4,28,32,0.7575585842132568,1.3491240739822388,-0.010276339016854763,-0.17898079752922058
qwen05_kv_p32_all,12,16,clean_english,4,28,32,0.8804543018341064,2.220446825027466,-0.00602223165333271,-0.009438403882086277
qwen05_kv_p32_all,13,16,clean_english,4,28,32,0.8945560455322266,2.183802366256714,-0.003425012808293104,-0.0436319038271904
qwen05_kv_p32_all,14,16,clean_english,4,28,32,0.8700623512268066,1.9321101903915405,-0.032640546560287476,0.2071741670370102
qwen05_kv_p32_all,15,16,clean_english,4,28,32,1.0196449756622314,2.1300437450408936,0.024934513494372368,-0.1908055990934372
qwen05_kv_p32_all,16,16,clean_english,4,28,32,0.848698616027832,1.4732577800750732,0.0009783187415450811,0.06766169518232346
qwen05_kv_p32_all,17,16,clean_english,4,28,32,1.1227394342422485,1.7033305168151855,0.2189805507659912,0.04576871171593666
qwen05_kv_p32_all,18,16,clean_english,4,28,32,1.1552475690841675,2.0581493377685547,-0.0378267727792263,-0.005364392418414354
qwen05_kv_p32_all,19,16,clean_english,4,28,32,1.0662553310394287,2.327958822250366,-0.060017768293619156,-0.09143658727407455
qwen05_kv_p32_all,20,16,clean_english,4,28,32,1.171286702156067,1.2628577947616577,0.12674672901630402,0.2808939814567566
qwen05_kv_p32_all,21,16,clean_english,4,28,32,1.3343185186386108,1.0955852270126343,-0.0640660971403122,0.24243469536304474
qwen05_kv_p32_all,22,16,clean_english,4,28,32,1.5483815670013428,1.6757968664169312,0.14345087110996246,0.03753837198019028
