run,bucket,baseline_loss,bytebridge_loss,loss_delta_bytebridge_minus_baseline,relative_robustness_gain_vs_baseline,baseline_degradation_ratio,bytebridge_degradation_ratio,clean_retention,count
bb_noise_l32_seed1_2k,typo_noise_light,1.3838238319009541,0.7453612808324397,-0.6384625510685145,0.46137560023912916,4.4798233377887575,1.1010117210145272,2.191568091689165,200
bb_noise_l32_seed1_2k,typo_noise_medium,1.842755225598812,0.7785762441903352,-1.0641789814084768,0.5774934004393703,5.965512137574318,1.1500752622938226,2.191568091689165,200
bb_noise_l32_seed1_2k,unicode_stress,0.5613888148218393,3.822585642337799,3.2611968275159597,-5.809158895605933,1.8173720210886282,5.646539074441,2.191568091689165,128
bb_distill_then_lm_l32,clean_english,0.30890142926573755,0.6863485487848521,0.3774471195191145,-1.2219014991815056,1.0,1.0,2.221901499181506,500
bb_distill_then_lm_l32,code,0.3875852378706137,2.382039777437846,1.9944545395672322,-5.145847531564229,1.2547214132090891,3.470597820386064,2.221901499181506,120
bb_distill_then_lm_l32,multilingual_ar,0.380582083016634,4.346541848778725,3.965959765762091,-10.420773711485392,1.232050249561105,6.332849186428781,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_hi,0.20375295225530862,2.897643706202507,2.6938907539471986,-13.22135814047824,0.659605080946475,4.221825355838006,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_ja,0.5564543843269348,3.7643889605998995,3.2079345762729647,-5.764955163671062,1.8013978946281786,5.48466077077685,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_ko,0.37660561315715313,5.3496686398983,4.973063026741147,-13.204962573582103,1.2191773086073097,7.794390545983724,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_latin,0.41324442997574806,5.919231176376343,5.505986746400595,-13.323801476825041,1.3377873678280967,8.624234999631112,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_ru,0.3207838121801615,5.082052940130234,4.761269127950072,-14.842610341185189,1.03846658444627,7.404478306434494,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_zh,0.6084793820977211,4.429241573810577,3.820762191712856,-6.27919746194333,1.969817308855074,6.45334150068845,2.221901499181506,80
bb_distill_then_lm_l32,tokenizer_stress,0.48062532022595406,3.2516397272547084,2.7710144070287543,-5.765435757163253,1.5559180848350436,4.737592485642439,2.221901499181506,120
bb_distill_then_lm_l32,typo_noise_heavy,2.8353178641200065,0.9116586031019688,-1.9236592610180376,0.6784633516267429,9.178713969888685,1.328273520379722,2.221901499181506,200
bb_distill_then_lm_l32,typo_noise_light,1.3838238319009541,0.7729263468831777,-0.6108974850177764,0.44145610946632463,4.4798233377887575,1.1261426111435766,2.221901499181506,200
bb_distill_then_lm_l32,typo_noise_medium,1.842755225598812,0.8204004822298885,-1.0223547433689235,0.5547968222620042,5.965512137574318,1.195311746025207,2.221901499181506,200
bb_distill_then_lm_l32,unicode_stress,0.5613888148218393,4.0054325349628925,3.444043720141053,-6.134863447954595,1.8173720210886282,5.835857804397377,2.221901499181506,128
bb_distill_then_lm_l64,clean_english,0.30890142926573755,0.7093010391369462,0.40039960987120865,-1.2962051060202713,1.0,1.0,2.2962051060202713,500
bb_distill_then_lm_l64,code,0.3875852378706137,2.487845770517985,2.100260532647371,-5.418835206898396,1.2547214132090891,3.5074610542585876,2.2962051060202713,120
bb_distill_then_lm_l64,multilingual_ar,0.380582083016634,4.8787171125411986,4.498135029524565,-11.819092990060613,1.232050249561105,6.8782038138241814,2.2962051060202713,80
bb_distill_then_lm_l64,multilingual_hi,0.20375295225530862,3.095128870010376,2.8913759177550675,-14.190596434313678,0.659605080946475,4.3636322227532975,2.2962051060202713,80
