run,bucket,baseline_loss,run_loss,loss_delta_run_minus_baseline,relative_gain_vs_baseline,clean_retention,count
bb_distill_then_lm_l32,typo_noise_medium,1.842755225598812,0.8204004822298885,-1.0223547433689235,0.5547968222620042,2.221901499181506,200
bb_distill_then_lm_l32,unicode_stress,0.5613888148218393,4.0054325349628925,3.444043720141053,-6.134863447954595,2.221901499181506,128
bb_recon_fixed_l32_then_lm,clean_english,0.30890142926573755,0.566929072830826,0.2580276435650885,-0.8353073800222399,1.83530738002224,500
bb_recon_fixed_l32_then_lm,code,0.3875852378706137,2.0057524532079696,1.6181672153373559,-4.174997025757579,1.83530738002224,120
bb_recon_fixed_l32_then_lm,multilingual_ar,0.380582083016634,4.467778307199478,4.087196224182844,-10.739329060859143,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_hi,0.20375295225530862,3.567527085542679,3.3637741332873703,-16.509081689635885,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_ja,0.5564543843269348,3.7556065529584886,3.199152168631554,-5.749172364777252,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_ko,0.37660561315715313,4.301924693584442,3.925319080427289,-10.42289053400088,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_latin,0.41324442997574806,5.9651116013526915,5.551867171376943,-13.434826385204428,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_ru,0.3207838121801615,5.194424384832383,4.873640572652221,-15.192913069799927,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_zh,0.6084793820977211,4.713361752033234,4.104882369935512,-6.746132228480788,1.83530738002224,80
bb_recon_fixed_l32_then_lm,tokenizer_stress,0.48062532022595406,2.8533292601505917,2.3727039399246377,-4.936701917429506,1.83530738002224,120
bb_recon_fixed_l32_then_lm,typo_noise_heavy,2.8353178641200065,0.7748995134467259,-2.0604183506732805,0.7266974813466883,1.83530738002224,200
bb_recon_fixed_l32_then_lm,typo_noise_light,1.3838238319009541,0.6415500394301489,-0.7422737924708053,0.536393271570664,1.83530738002224,200
bb_recon_fixed_l32_then_lm,typo_noise_medium,1.842755225598812,0.662555988994427,-1.180199236604385,0.6404536100126231,1.83530738002224,200
bb_recon_fixed_l32_then_lm,unicode_stress,0.5613888148218393,2.3899597064591944,1.828570891637355,-3.2572271540851143,1.83530738002224,128
bb_recon_oracle_boundary_l32_then_lm,clean_english,0.30890142926573755,0.6793582044951618,0.3704567752294243,-1.1992718068997108,2.1992718068997106,500
bb_recon_oracle_boundary_l32_then_lm,code,0.3875852378706137,1.5469125509262085,1.1593273130555948,-2.991154460435382,2.1992718068997106,120
bb_recon_oracle_boundary_l32_then_lm,multilingual_ar,0.380582083016634,4.3014338940382,3.920851811021566,-10.302250121559712,2.1992718068997106,80
bb_recon_oracle_boundary_l32_then_lm,multilingual_hi,0.20375295225530862,2.843474331498146,2.6397213792428373,-12.955500030915804,2.1992718068997106,80
bb_recon_oracle_boundary_l32_then_lm,multilingual_ja,0.5564543843269348,3.7327940613031387,3.176339676976204,-5.708176207144416,2.1992718068997106,80
bb_recon_oracle_boundary_l32_then_lm,multilingual_ko,0.37660561315715313,3.901167193055153,3.5245615798979997,-9.358760084192483,2.1992718068997106,80
bb_recon_oracle_boundary_l32_then_lm,multilingual_latin,0.41324442997574806,6.341319566965103,5.928075136989355,-14.345202758902893,2.1992718068997106,80
bb_recon_oracle_boundary_l32_then_lm,multilingual_ru,0.3207838121801615,5.330712217092514,5.009928404912352,-15.617771890866583,2.1992718068997106,80
bb_recon_oracle_boundary_l32_then_lm,multilingual_zh,0.6084793820977211,4.404964002966881,3.7964846208691596,-6.239298705209782,2.1992718068997106,80
bb_recon_oracle_boundary_l32_then_lm,tokenizer_stress,0.48062532022595406,2.55267170916001,2.072046388934056,-4.3111469615457105,2.1992718068997106,120
