run,bucket,baseline_loss,bytebridge_loss,loss_delta_bytebridge_minus_baseline,relative_robustness_gain_vs_baseline,baseline_degradation_ratio,bytebridge_degradation_ratio,clean_retention,baseline_ppl,bytebridge_ppl,count
bb_clean_l32_seed1,unicode_stress,0.5613888148218393,8.564736790955067,8.003347976133227,-14.256336722122164,1.8173720210886282,10.67472382399449,2.5973917414864376,1.753105549348919,5243.4596130437985,128
bb_noise_l32_seed1,clean_english,0.30890142926573755,0.8802832289934158,0.5713817997276782,-1.849722097712075,1.0,1.0,2.849722097712075,1.3619281176322608,2.4115826398229903,500
bb_noise_l32_seed1,code,0.3875852378706137,2.6398165841897328,2.2522313463191193,-5.81093170290189,1.2547214132090891,2.998826397281593,2.849722097712075,1.473418539325425,14.01063360033666,120
bb_noise_l32_seed1,multilingual_ar,0.380582083016634,4.647971296310425,4.267389213293791,-11.212795882215184,1.232050249561105,5.2800861622971915,2.849722097712075,1.4631360082333915,104.37302870254133,80
bb_noise_l32_seed1,multilingual_hi,0.20375295225530862,3.9146994024515154,3.710946450196207,-18.212970212801032,0.659605080946475,4.447090747063177,2.849722097712075,1.2259952366820737,50.133999088561936,80
bb_noise_l32_seed1,multilingual_ja,0.5564543843269348,3.8001162827014925,3.2436618983745578,-5.829160466222155,1.8013978946281786,4.316924550575433,2.849722097712075,1.74447627964044,44.70638277002259,80
bb_noise_l32_seed1,multilingual_ko,0.37660561315715313,3.8932535737752914,3.5166479606181382,-9.337747069507119,1.2191773086073097,4.422728328275821,2.849722097712075,1.45732944446051,49.07028086146141,80
bb_noise_l32_seed1,multilingual_latin,0.41324442997574806,5.435944133996964,5.022699704021216,-12.154307087250956,1.3377873678280967,6.175221741089904,2.849722097712075,1.5117144891141283,229.50943367579745,80
bb_noise_l32_seed1,multilingual_ru,0.3207838121801615,4.455427765846252,4.134643953666091,-12.889191401416337,1.03846658444627,5.061357094058164,2.849722097712075,1.3782075969889913,86.09297060188563,80
bb_noise_l32_seed1,multilingual_zh,0.6084793820977211,4.49172927737236,3.883249895274639,-6.381892319649696,1.969817308855074,5.10259553906139,2.849722097712075,1.83763493256588,89.27569490964927,80
bb_noise_l32_seed1,tokenizer_stress,0.48062532022595406,3.342931360999743,2.862306040773789,-5.955379211873704,1.5559180848350436,3.7975633874364623,2.849722097712075,1.6170852822321584,28.3019685131811,120
bb_noise_l32_seed1,typo_noise_heavy,2.8353178641200065,1.0012935194373132,-1.8340243446826934,0.6468496417603311,9.178713969888685,1.1374674496323982,2.849722097712075,17.03581451404758,2.7218002539255335,200
bb_noise_l32_seed1,typo_noise_light,1.3838238319009541,0.931743189394474,-0.45208064250648017,0.3266894470847915,4.4798233377887575,1.0584584128223158,2.849722097712075,3.990130080107096,2.5389311601932794,200
bb_noise_l32_seed1,typo_noise_medium,1.842755225598812,0.9453720860183239,-0.8973831395804881,0.4869790231032335,5.965512137574318,1.0739408123216612,2.849722097712075,6.313910565746857,2.5737708645967867,200
bb_noise_l32_seed1,unicode_stress,0.5613888148218393,3.7356293704360723,3.174240555614233,-5.654263982123692,1.8173720210886282,4.2436675463051605,2.849722097712075,1.753105549348919,41.91439694583141,128
bb_noise_l32_seed1_2k,clean_english,0.30890142926573755,0.676978515855968,0.3680770865902305,-1.1915680916891649,1.0,1.0,2.191568091689165,1.3619281176322608,1.96792269301901,500
bb_noise_l32_seed1_2k,code,0.3875852378706137,2.4260518381992977,2.038466600328684,-5.259402064763825,1.2547214132090891,3.5836467205045803,2.191568091689165,1.473418539325425,11.314123790300279,120
bb_noise_l32_seed1_2k,multilingual_ar,0.380582083016634,3.997267797589302,3.616685714572668,-9.503037257838,1.232050249561105,5.9045711259170135,2.191568091689165,1.4631360082333915,54.44918043622057,80
bb_noise_l32_seed1_2k,multilingual_hi,0.20375295225530862,3.1947529286146166,2.990999976359308,-14.679541784560227,0.659605080946475,4.719134882109498,2.191568091689165,1.2259952366820737,24.404143381852766,80
bb_noise_l32_seed1_2k,multilingual_ja,0.5564543843269348,4.158013066649437,3.601558682322502,-6.472334092000739,1.8013978946281786,6.142016281553731,2.191568091689165,1.74447627964044,63.94434314525247,80
bb_noise_l32_seed1_2k,multilingual_ko,0.37660561315715313,3.8527427941560743,3.476137180998921,-9.230178891540763,1.2191773086073097,5.6910857640507055,2.191568091689165,1.45732944446051,47.122132455028016,80
bb_noise_l32_seed1_2k,multilingual_latin,0.41324442997574806,4.4622160404920574,4.048971610516309,-9.798006498850887,1.3377873678280967,6.591370236986111,2.191568091689165,1.5117144891141283,86.67938143846266,80
bb_noise_l32_seed1_2k,multilingual_ru,0.3207838121801615,5.8340729534626,5.5132891412824385,-17.186930674001765,1.03846658444627,8.61781107792768,2.191568091689165,1.3782075969889913,341.74777106542524,80
bb_noise_l32_seed1_2k,multilingual_zh,0.6084793820977211,4.5418889939785005,3.9334096118807795,-6.464326857420254,1.969817308855074,6.709059279725827,2.191568091689165,1.83763493256588,93.86794874040308,80
bb_noise_l32_seed1_2k,tokenizer_stress,0.48062532022595406,3.1705881396929425,2.6899628194669885,-5.596797976025003,1.5559180848350436,4.683439821844372,2.191568091689165,1.6170852822321584,23.821490601378358,120
bb_noise_l32_seed1_2k,typo_noise_heavy,2.8353178641200065,0.8203373056277633,-2.014980558492243,0.7106718382411877,9.178713969888685,1.2117626873144316,2.191568091689165,17.03581451404758,2.2712658190831228,200
bb_noise_l32_seed1_2k,typo_noise_light,1.3838238319009541,0.7453612808324397,-0.6384625510685145,0.46137560023912916,4.4798233377887575,1.1010117210145272,2.191568091689165,3.990130080107096,2.1072025893828115,200
bb_noise_l32_seed1_2k,typo_noise_medium,1.842755225598812,0.7785762441903352,-1.0641789814084768,0.5774934004393703,5.965512137574318,1.1500752622938226,2.191568091689165,6.313910565746857,2.1783685916476965,200
bb_noise_l32_seed1_2k,unicode_stress,0.5613888148218393,3.822585642337799,3.2611968275159597,-5.809158895605933,1.8173720210886282,5.646539074441,2.191568091689165,1.753105549348919,45.72227706866199,128
